address|text|type
00496cd0|画面周りを毎回描画します\r\n|string
00496cec|パッド、キーボードの入力に DirectInput を使用しません\r\n|string
00496d24|リファレンスラスタライザを強制します\r\n|string
00496d4c|ウィンドウモードで起動します\r\n|string
00496d6c|テクスチャの色合成を抑制しますn|string
00496d8c|デプステストを抑制します\r\n|string
00496da8|グーローシェーディングを抑制します\r\n|string
00496dd0|ゲーム周りのアイテムの描画を抑制します\r\n|string
00496dfc|バックバッファの消去を強制します\r\n|string
00496e20|16Bit のテクスチャの使用を強制します\r\n|string
00496e48|フォグの使用を抑制します\r\n|string
00496e64|頂点バッファの使用を抑制します\r\n|string
00496e88|コンフィグデータが異常でしたので再初期化しました\r\n|string
00496ebc|wave データが無いので、midi にします\r\n|string
00496ee4|BGM データのバージョンが違います\r\n|string
00496f14|コンフィグデータが見つからないので初期化しました\r\n|string
00496f48|error ? mother.cpp\r\n|string
00496f60|snapShotScreen : 確保しくり\r\n|string
00496f80|16bit は取り込めない\r\n|string
00496f9c|%2d|string
00496fac|thbgm.dat|string
00496fb8|error : BGM の初期化に失敗しました\r\n|string
00496ff0|error : 文字の初期化に失敗しました\r\n|string
00497050|垂直同期が取れてないか、リフレッシュレートが高すぎます。\r\n|string
0049708c|強制６０フレームモードで動作します\r\n|string
004970b4|垂直同期が取れてないか、リフレッシュレートが高すぎます\r\n|string
004970f0|error : データファイルが存在しません\r\n|string
00497118|error : データのバージョンが違います\r\n|string
00497150|th07.dat|string
0049715c|有効なパッドを発見しました\r\n|string
0049717c|DirectInput は正常に初期化されました\r\n|string
004971a4|DirectInput SetCooperativeLevel が使用できません\r\n|string
004971d8|DirectInput SetDataFormat が使用できません\r\n|string
00497208|DirectInput が使用できません\r\n|string
00497228|0100b|string
00497244|alq チェック %f / %f = %f\r\n|string
00497290|error : まだMIDIが読み込まれていないのに再生しようとしている\r\n|string
004972d0|error : MIDI File が読み込めない %s \rv\r\n|string
0049730c|.lnk|string
00497314|二つは起動できません\r\n|string
00497370|　バイリニア補間（縮小） : |string
0049738c|　バイリニア補間（拡大） : |string
004973a8|　テクスチャトランスフォーム : |string
004973c8|　α付きテクスチャ : |string
004973e0|　最大テクスチャサイズ : (%d, %d)\r\n|string
00497404|　-- テクスチャ能力 ---------------------------\r\n|string
00497438|　グーローシェーディングでフォグ : |string
0049745c|　α成分のグーローシェーディング : |string
00497480|　グーローシェーディング : |string
0049749c|　-- シェーディング能力 -----------------------\r\n|string
004974d0|　デプステスト : |string
004974e4|　頂点フォグ : |string
004974f4|　テーブルフォグ : |string
00497508|　Zベースのフォグ : |string
00497520|　範囲ベースのフォグ : |string
00497538|　ディザ処理 : |string
00497548|　アンチエイリアシング : |string
00497564|　異方性フィルタリング : |string
00497580|　-- ラスタ能力 --------------------------------\r\n|string
004975b4|　デプステストON/OFF切り替え : |string
004975d4|　法線クリップ無し : |string
004975ec|　法線クリップ（時計周り） : |string
0049760c|　法線クリップ（反時計周り） : |string
0049762c|　プリミティブのクリッピング処理 : |string
00497650|　ポイントのクリッピング処理 : |string
00497670|　半透明処理 : |string
00497680|　-- プリミティブ能力 ---------------------------\r\n|string
004976b4|　頂点バッファにビデオメモリを使用 : |string
004976dc|　頂点バッファにシステムメモリを使用 : |string
00497704|　VRAM からテクスチャ取得 : |string
00497724|　システムメモリからテクスチャ取得 : |string
0049774c|　非ローカルVRAMからテクスチャ取得 : |string
00497774|　ハードウェア T&L : |string
0049778c|　System -> 非ローカルVRAMブリット : |string
004977b4|　-- デバイス能力 ------------------------------\r\n|string
004977e8|　プレゼンテーション間隔（垂直同期）: |string
00497810|　プレゼンテーション間隔（直接）: |string
00497834|　ウィンドウモードのレンダリング : |string
00497858|　走査線取得能力 : |string
0049786c|現在のビデオカード、及びドライバの能力詳細\r\n|string
0049789c|可\r\n|string
004978a4|不可\r\n|string
004978b0|D3DFMT_A8R8G8B8 をサポートしていません、減色モードで動作します\r\n|string
004978f8|512 以上のテクスチャをサポートしていません。殆どの絵がボケて表示されます。\r\n|string
00497948|D3DTEXOPCAPS_ADD をサポートしていません、色加算エミュレートモードで動作します\r\n|string
00497998|T&L HAL で動作しま～す\r\n|string
004979b4|HAL で動作します\r\n|string
004979c8|REF で動作しますが、重すぎて恐らくゲームになりません...\r\n|string
00497a04|Direct3D の初期化に失敗、これではゲームは出来ません\r\n|string
00497a3c|*** リフレッシュレートを60Hzに変更することを推奨します ***\r\n|string
00497a7c|非同期更新も行えません。一番汚いモードに変更します\r\n|string
00497ab4|リフレッシュレートが変更できません\r\n|string
00497adc|HAL も使用できないようです\r\n|string
00497afc|T&L HAL は使用できないようです\r\n|string
00497b20|VSync非同期可能かどうかを試みます\r\n|string
00497b44|リフレッシュレートを60Hzに変更を試みます\r\n|string
00497b70|初回起動、画面を 32Bits で初期化しました\r\n|string
00497b9c|東方妖々夢　～ Perfect Cherry Blossom. ver 1.00b|string
00497bd0|BASE|string
00497bd8|Direct3D オブジェクトは何故か作成出来なかった\r\n|string
00497c28|再起動を要するオプションが変更されたので再起動します\r\n|string
00497c78|log|string
00497cbc|ＭＳ ゴシック|string
00497d9c|使えるパッドが存在しないようです、残念\r\n|string
00497dc8|東方動作記録 --------------------------------------------- \r\n|string
00497e30|error : 2D表示の初期化に失敗しました\r\n|string
00497e58|error : エフェクトの初期化に失敗しました\r\n|string
00497e84|error : 敵頭脳の初期化に失敗しました\r\n|string
00497f4c|error : 敵の初期化に失敗しました\r\n|string
00498010|error : 敵弾の初期化に失敗しました\r\n|string
00498038|error : 背景データの初期化に失敗しました\r\n|string
00498064|error : プレイヤーの初期化に失敗しました\r\n|string
00498090|error : スコアファイルの読み取りに失敗しました\r\n|string
004980d8|%.2d|string
004980e0|MAX|string
004980ec|%d|string
004980f0|%.9d|string
004980f8|%1d|string
004980fc|%.8d|string
00498104| |string
00498108|error : メッセージファイル %s が読み込めませんでした\r\n|string
00498388|+%d|string
004985d8|error : エンディングファイルが読み込めない、ファイルが破壊されています\r\n|string
00498700|敵データの読み込みに失敗しました、データが壊れてるか失われています\r\n|string
00498748|時符「プライベートスクウェア」|string
00498768|時符「パーフェクトスクウェア」|string
00498788|幻符「殺人ドール」|string
0049879c|幻符「インディスクリミネイト」|string
004987bc|恋符「マスタースパーク」|string
004987d8|恋符「ノンディレクショナルレーザー」|string
00498800|魔符「ミルキーウェイ」|string
00498818|魔符「スターダストレヴァリエ」|string
00498838|夢符「二重結界」|string
0049884c|夢符「封魔陣」|string
0049885c|霊符「夢想封印　集」|string
00498874|霊符「夢想封印　散」|string
0049888c|ステージデータが見つかりません。データが壊れています\r\n|string
0049ad82|DirectInput8Create|string
0049ad96|DINPUT8.dll|string
0049ada2|DSOUND.dll|string
0049adb0|Direct3DCreate8|string
0049adc0|d3d8.dll|string
0049adcc|timeGetTime|string
0049adda|joyGetDevCapsA|string
0049adec|joyGetPosEx|string
0049adfa|timeEndPeriod|string
0049ae0a|timeBeginPeriod|string
0049ae1c|midiOutUnprepareHeader|string
0049ae36|timeSetEvent|string
0049ae46|midiOutPrepareHeader|string
0049ae5e|midiOutReset|string
0049ae6e|midiOutOpen|string
0049ae7c|timeKillEvent|string
0049ae8c|midiOutShortMsg|string
0049ae9e|midiOutClose|string
0049aeae|midiOutLongMsg|string
0049aec0|timeGetDevCaps|string
0049aed0|WINMM.dll|string
0049aedc|CreateFileA|string
0049aeea|GetFileSize|string
0049aef8|WriteFile|string
0049af04|ReadFile|string
0049af10|GetProcAddress|string
0049af22|LoadLibraryA|string
0049af32|GetVersionExA|string
0049af42|CloseHandle|string
0049af50|QueryPerformanceCounter|string
0049af6a|GetConsoleTitleA|string
0049af7e|MultiByteToWideChar|string
0049af94|GetStartupInfoA|string
0049afa6|GetLastError|string
0049afb6|GetModuleFileNameA|string
0049afcc|CreateMutexA|string
0049afdc|QueryPerformanceFrequency|string
0049aff8|GetLocalTime|string
0049b008|GlobalFree|string
0049b016|SetFilePointer|string
0049b028|WaitForSingleObject|string
0049b03e|CreateEventA|string
0049b04e|CreateThread|string
0049b05e|FindFirstFileA|string
0049b070|FindClose|string
0049b07c|FindNextFileA|string
0049b08c|Sleep|string
0049b094|GlobalAlloc|string
0049b0a2|DeleteFileA|string
0049b0b0|WideCharToMultiByte|string
0049b0c4|KERNEL32.dll|string
0049b0d4|GetKeyboardState|string
0049b0e8|SetKeyboardState|string
0049b0fc|MoveWindow|string
0049b10a|RegisterClassA|string
0049b11c|GetWindowThreadProcessId|string
0049b138|WINNLSEnableIME|string
0049b14a|LoadCursorA|string
0049b158|GetSystemMetrics|string
0049b16c|SystemParametersInfoA|string
0049b184|DispatchMessageA|string
0049b198|ShowWindow|string
0049b1a6|DefWindowProcA|string
0049b1b8|PeekMessageA|string
0049b1c8|CreateWindowExA|string
0049b1da|MessageBoxA|string
0049b1e8|GetForegroundWindow|string
0049b1fe|ShowCursor|string
0049b20c|TranslateMessage|string
0049b220|AttachThreadInput|string
0049b234|SetActiveWindow|string
0049b246|SetCursor|string
0049b252|DestroyWindow|string
0049b262|GetWindowLongA|string
0049b274|MsgWaitForMultipleObjects|string
0049b290|KillTimer|string
0049b29c|PostThreadMessageA|string
0049b2b2|SetTimer|string
0049b2bc|USER32.dll|string
0049b2ca|TextOutA|string
0049b2d6|CreateCompatibleDC|string
0049b2ec|SelectObject|string
0049b2fc|DeleteObject|string
0049b30c|SetBkMode|string
0049b318|CreateFontA|string
0049b326|CreateDIBSection|string
0049b33a|DeleteDC|string
0049b346|SetTextColor|string
0049b356|GetStockObject|string
0049b366|GDI32.dll|string
0049b372|CoCreateInstance|string
0049b386|CoUninitialize|string
0049b398|CoInitialize|string
0049b3a6|ole32.dll|string
0049b3b2|HeapFree|string
0049b3be|HeapAlloc|string
0049b3ca|CreateDirectoryA|string
0049b3de|GetTimeFormatA|string
0049b3f0|GetDateFormatA|string
0049b402|GetSystemTimeAsFileTime|string
0049b41c|SetEnvironmentVariableA|string
0049b436|GetCurrentDirectoryA|string
0049b44e|SetCurrentDirectoryA|string
0049b466|GetModuleHandleA|string
0049b47a|GetCommandLineA|string
0049b48c|RtlUnwind|string
0049b498|ExitProcess|string
0049b4a6|TerminateProcess|string
0049b4ba|GetCurrentProcess|string
0049b4ce|HeapReAlloc|string
0049b4dc|HeapSize|string
0049b4e8|HeapDestroy|string
0049b4f6|HeapCreate|string
0049b504|VirtualFree|string
0049b512|DeleteCriticalSection|string
0049b52a|LeaveCriticalSection|string
0049b542|EnterCriticalSection|string
0049b55a|VirtualAlloc|string
0049b56a|IsBadWritePtr|string
0049b57a|TlsFree|string
0049b584|SetLastError|string
0049b594|GetCurrentThreadId|string
0049b5aa|TlsSetValue|string
0049b5b8|TlsGetValue|string
0049b5c6|TlsAlloc|string
0049b5d2|GetTimeZoneInformation|string
0049b5ec|VirtualProtect|string
0049b5fe|GetSystemInfo|string
0049b60e|VirtualQuery|string
0049b61e|GetStdHandle|string
0049b62e|UnhandledExceptionFilter|string
0049b64a|FreeEnvironmentStringsA|string
0049b664|GetEnvironmentStrings|string
0049b67c|FreeEnvironmentStringsW|string
0049b696|GetEnvironmentStringsW|string
0049b6b0|SetHandleCount|string
0049b6c2|GetFileType|string
0049b6d0|RaiseException|string
0049b6e2|InitializeCriticalSection|string
0049b6fe|GetStringTypeA|string
0049b710|GetStringTypeW|string
0049b722|GetCPInfo|string
0049b72e|GetLocaleInfoA|string
0049b740|GetACP|string
0049b74a|GetOEMCP|string
0049b756|LCMapStringA|string
0049b766|LCMapStringW|string
0049b776|GetTickCount|string
0049b786|GetCurrentProcessId|string
0049b79c|SetUnhandledExceptionFilter|string
0049b7ba|IsBadReadPtr|string
0049b7ca|IsBadCodePtr|string
0049b7da|SetStdHandle|string
0049b7ea|FlushFileBuffers|string
0049b7fe|CompareStringA|string
0049b810|CompareStringW|string
0049d998|pow|string
